date,sales,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,day_of_week
2025-10-11,227,183.0,203.0,235.0,256.0,205.0,218.0,223.0,5
2025-10-12,133,227.0,183.0,203.0,235.0,256.0,205.0,218.0,6
2025-10-13,189,133.0,227.0,183.0,203.0,235.0,256.0,205.0,0
2025-10-14,218,189.0,133.0,227.0,183.0,203.0,235.0,256.0,1
2025-10-15,182,218.0,189.0,133.0,227.0,183.0,203.0,235.0,2
2025-10-16,154,182.0,218.0,189.0,133.0,227.0,183.0,203.0,3
2025-10-17,209,154.0,182.0,218.0,189.0,133.0,227.0,183.0,4
2025-10-18,167,209.0,154.0,182.0,218.0,189.0,133.0,227.0,5
2025-10-19,226,167.0,209.0,154.0,182.0,218.0,189.0,133.0,6
2025-10-20,215,226.0,167.0,209.0,154.0,182.0,218.0,189.0,0
2025-10-21,172,215.0,226.0,167.0,209.0,154.0,182.0,218.0,1
2025-10-22,184,172.0,215.0,226.0,167.0,209.0,154.0,182.0,2
2025-10-23,190,184.0,172.0,215.0,226.0,167.0,209.0,154.0,3
2025-10-24,174,190.0,184.0,172.0,215.0,226.0,167.0,209.0,4
2025-10-25,196,174.0,190.0,184.0,172.0,215.0,226.0,167.0,5
2025-10-26,229,196.0,174.0,190.0,184.0,172.0,215.0,226.0,6
2025-10-27,218,229.0,196.0,174.0,190.0,184.0,172.0,215.0,0
2025-10-28,253,218.0,229.0,196.0,174.0,190.0,184.0,172.0,1
2025-10-29,227,253.0,218.0,229.0,196.0,174.0,190.0,184.0,2
2025-10-30,183,227.0,253.0,218.0,229.0,196.0,174.0,190.0,3
2025-10-31,200,183.0,227.0,253.0,218.0,229.0,196.0,174.0,4
2025-11-01,219,200.0,183.0,227.0,253.0,218.0,229.0,196.0,5
2025-11-02,157,219.0,200.0,183.0,227.0,253.0,218.0,229.0,6
2025-11-03,204,157.0,219.0,200.0,183.0,227.0,253.0,218.0,0
2025-11-04,227,204.0,157.0,219.0,200.0,183.0,227.0,253.0,1
2025-11-05,143,227.0,204.0,157.0,219.0,200.0,183.0,227.0,2
2025-11-06,190,143.0,227.0,204.0,157.0,219.0,200.0,183.0,3
2025-11-07,198,190.0,143.0,227.0,204.0,157.0,219.0,200.0,4
2025-11-08,214,198.0,190.0,143.0,227.0,204.0,157.0,219.0,5
2025-11-09,190,214.0,198.0,190.0,143.0,227.0,204.0,157.0,6
2025-11-10,177,190.0,214.0,198.0,190.0,143.0,227.0,204.0,0
2025-11-11,193,177.0,190.0,214.0,198.0,190.0,143.0,227.0,1
2025-11-12,147,193.0,177.0,190.0,214.0,198.0,190.0,143.0,2
2025-11-13,189,147.0,193.0,177.0,190.0,214.0,198.0,190.0,3
2025-11-14,234,189.0,147.0,193.0,177.0,190.0,214.0,198.0,4
2025-11-15,200,234.0,189.0,147.0,193.0,177.0,190.0,214.0,5
2025-11-16,189,200.0,234.0,189.0,147.0,193.0,177.0,190.0,6
2025-11-17,210,189.0,200.0,234.0,189.0,147.0,193.0,177.0,0
2025-11-18,226,210.0,189.0,200.0,234.0,189.0,147.0,193.0,1
2025-11-19,261,226.0,210.0,189.0,200.0,234.0,189.0,147.0,2
2025-11-20,248,261.0,226.0,210.0,189.0,200.0,234.0,189.0,3
2025-11-21,147,248.0,261.0,226.0,210.0,189.0,200.0,234.0,4
2025-11-22,191,147.0,248.0,261.0,226.0,210.0,189.0,200.0,5
2025-11-23,280,191.0,147.0,248.0,261.0,226.0,210.0,189.0,6
2025-11-24,170,280.0,191.0,147.0,248.0,261.0,226.0,210.0,0
2025-11-25,201,170.0,280.0,191.0,147.0,248.0,261.0,226.0,1
2025-11-26,213,201.0,170.0,280.0,191.0,147.0,248.0,261.0,2
